date,high_temp,low_temp,wind,weather
2011-05-02 00:00:00,8,6,12,2
2011-05-02 06:00:00,12,7,12,1
2011-05-02 12:00:00,13,11,20,1
2011-05-02 18:00:00,13,5,14,1
2011-05-03 00:00:00,8,4,11,2
2011-05-03 06:00:00,12,8,12,1
2011-05-03 12:00:00,14,12,10,1
2011-05-03 18:00:00,14,8,10,3
2011-05-04 00:00:00,8,4,4,3
2011-05-04 06:00:00,12,6,12,1
2011-05-04 12:00:00,13,11,17,1
2011-05-04 18:00:00,10,6,14,1
2011-05-05 00:00:00,6,-1,6,3
2011-05-05 06:00:00,11,-1,13,3
2011-05-05 12:00:00,13,11,15,1
2011-05-05 18:00:00,12,3,11,1
2011-05-06 00:00:00,3,-1,2,2
2011-05-06 06:00:00,12,-1,5,3
2011-05-06 12:00:00,14,13,14,3
2011-05-06 18:00:00,12,3,10,3
2011-05-07 00:00:00,2,0,3,2
2011-05-07 06:00:00,14,0,5,3
2011-05-07 12:00:00,18,14,8,3
2011-05-07 18:00:00,17,6,5,3
2011-05-08 00:00:00,6,1,1,2
2011-05-08 06:00:00,18,2,4,3
2011-05-08 12:00:00,21,18,6,3
2011-05-08 18:00:00,21,10,7,3
2011-05-09 00:00:00,9,8,2,3
2011-05-09 06:00:00,21,9,4,2
2011-05-09 12:00:00,23,21,12,3
2011-05-09 18:00:00,21,11,14,3
2011-05-10 00:00:00,10,8,9,3
2011-05-10 06:00:00,19,8,7,3
2011-05-10 12:00:00,19,10,27,3
2011-05-10 18:00:00,10,8,27,1
2011-05-11 00:00:00,8,6,24,2
2011-05-11 06:00:00,9,7,25,3
2011-05-11 12:00:00,11,8,30,3
2011-05-11 18:00:00,9,4,18,3
2011-05-12 00:00:00,5,0,8,2
2011-05-12 06:00:00,11,1,14,3
2011-05-12 12:00:00,11,7,19,3
2011-05-12 18:00:00,8,6,11,3
2011-05-13 00:00:00,5,1,9,3
2011-05-13 06:00:00,10,5,13,1
2011-05-13 12:00:00,11,9,22,3
2011-05-13 18:00:00,9,5,16,3
2011-05-14 00:00:00,5,-3,6,2
2011-05-14 06:00:00,10,-1,12,3
2011-05-14 12:00:00,12,10,15,1
2011-05-14 18:00:00,10,0,9,3
2011-05-15 00:00:00,1,-2,3,3
2011-05-15 06:00:00,12,-2,9,3
2011-05-15 12:00:00,14,12,19,1
2011-05-15 18:00:00,14,7,13,3
2011-05-16 00:00:00,7,4,8,3
2011-05-16 06:00:00,15,6,14,3
2011-05-16 12:00:00,16,13,20,1
2011-05-16 18:00:00,14,6,13,3
2011-05-17 00:00:00,5,1,8,2
2011-05-17 06:00:00,17,3,14,3
2011-05-17 12:00:00,18,16,23,3
2011-05-17 18:00:00,16,7,13,3
2011-05-18 00:00:00,10,7,11,3
2011-05-18 06:00:00,19,10,18,3
2011-05-18 12:00:00,20,17,27,3
2011-05-18 18:00:00,16,10,12,3
2011-05-19 00:00:00,12,10,7,3
2011-05-19 06:00:00,18,12,10,1
2011-05-19 12:00:00,19,17,14,1
2011-05-19 18:00:00,16,14,9,1
2011-05-20 00:00:00,14,13,6,1
2011-05-20 06:00:00,16,13,8,1
2011-05-20 12:00:00,20,17,9,3
2011-05-20 18:00:00,19,12,11,3
2011-05-21 00:00:00,12,10,6,3
2011-05-21 06:00:00,21,10,8,3
2011-05-21 12:00:00,25,21,10,3
2011-05-21 18:00:00,25,14,6,3
2011-05-22 00:00:00,17,14,9,3
2011-05-22 06:00:00,18,17,13,3
2011-05-22 12:00:00,23,17,18,3
2011-05-22 18:00:00,19,13,22,3
2011-05-23 00:00:00,13,12,13,3
2011-05-23 06:00:00,16,12,22,3
2011-05-23 12:00:00,19,16,30,3
2011-05-23 18:00:00,17,12,25,3
