date,high_temp,low_temp,wind,weather
2011-04-17 00:00:00,13,8,35,0
2011-04-17 06:00:00,17,13,29,1
2011-04-17 12:00:00,15,14,28,3
2011-04-17 18:00:00,14,11,23,2
2011-04-18 00:00:00,11,7,25,2
2011-04-18 06:00:00,12,7,29,3
2011-04-18 12:00:00,16,14,27,1
2011-04-18 18:00:00,16,13,16,1
2011-04-19 00:00:00,11,11,11,2
2011-04-19 06:00:00,9,8,13,0
2011-04-19 12:00:00,8,7,11,0
2011-04-19 18:00:00,7,6,7,0
2011-04-20 00:00:00,7,6,16,1
2011-04-20 06:00:00,7,6,23,1
2011-04-20 12:00:00,7,7,11,1
2011-04-20 18:00:00,7,6,9,2
2011-04-21 00:00:00,8,6,11,2
2011-04-21 06:00:00,11,8,32,3
2011-04-21 12:00:00,13,10,40,3
2011-04-21 18:00:00,8,6,27,2
2011-04-22 00:00:00,5,3,19,3
2011-04-22 06:00:00,10,4,12,1
2011-04-22 12:00:00,10,8,21,1
2011-04-22 18:00:00,8,6,14,3
2011-04-23 00:00:00,7,6,16,1
2011-04-23 06:00:00,7,4,25,0
2011-04-23 12:00:00,11,7,15,0
2011-04-23 18:00:00,12,12,12,1
2011-04-24 00:00:00,13,12,12,2
2011-04-24 06:00:00,23,13,16,2
2011-04-24 12:00:00,23,21,22,1
2011-04-24 18:00:00,19,14,7,1
2011-04-25 00:00:00,13,11,5,1
2011-04-25 06:00:00,13,11,9,1
2011-04-25 12:00:00,11,9,12,2
2011-04-25 18:00:00,9,8,11,2
2011-04-26 00:00:00,8,8,8,2
2011-04-26 06:00:00,12,8,8,2
2011-04-26 12:00:00,12,9,22,1
2011-04-26 18:00:00,10,9,12,2
2011-04-27 00:00:00,10,9,6,2
2011-04-27 06:00:00,14,10,11,2
2011-04-27 12:00:00,25,14,18,1
2011-04-27 18:00:00,21,17,23,1
2011-04-28 00:00:00,19,18,27,1
2011-04-28 06:00:00,21,18,32,1
2011-04-28 12:00:00,21,19,37,1
2011-04-28 18:00:00,18,17,22,2
2011-04-29 00:00:00,18,14,17,2
2011-04-29 06:00:00,21,16,8,3
2011-04-29 12:00:00,23,19,24,3
2011-04-29 18:00:00,22,16,23,2
2011-04-30 00:00:00,15,12,20,1
2011-04-30 06:00:00,15,12,16,1
2011-04-30 12:00:00,14,12,13,1
2011-04-30 18:00:00,14,9,10,2
2011-05-01 00:00:00,11,8,11,3
2011-05-01 06:00:00,12,9,22,3
2011-05-01 12:00:00,12,11,23,3
2011-05-01 18:00:00,11,10,13,2
2011-05-02 00:00:00,11,7,6,3
2011-05-02 06:00:00,16,9,9,3
2011-05-02 12:00:00,15,13,28,3
2011-05-02 18:00:00,16,13,15,3
2011-05-03 00:00:00,15,12,14,1
2011-05-03 06:00:00,17,13,11,3
2011-05-03 12:00:00,21,17,24,1
2011-05-03 18:00:00,17,14,17,1
2011-05-04 00:00:00,17,14,16,1
2011-05-04 06:00:00,18,17,20,1
2011-05-04 12:00:00,19,14,11,1
2011-05-04 18:00:00,14,10,18,0
2011-05-05 00:00:00,9,8,19,1
2011-05-05 06:00:00,12,9,20,1
2011-05-05 12:00:00,14,12,23,1
2011-05-05 18:00:00,12,10,24,2
2011-05-06 00:00:00,9,8,22,2
2011-05-06 06:00:00,19,10,26,3
2011-05-06 12:00:00,22,19,31,1
2011-05-06 18:00:00,18,13,21,2
2011-05-07 00:00:00,12,11,14,2
2011-05-07 06:00:00,20,12,12,3
2011-05-07 12:00:00,21,14,20,1
2011-05-07 18:00:00,13,13,9,2
2011-05-08 00:00:00,12,10,3,2
2011-05-08 06:00:00,13,11,19,1
2011-05-08 12:00:00,13,11,19,1
2011-05-08 18:00:00,13,11,7,2
2011-05-09 00:00:00,12,11,15,2
2011-05-09 06:00:00,18,12,27,1
2011-05-09 12:00:00,19,16,28,1
2011-05-09 18:00:00,16,15,29,1
2011-05-10 00:00:00,14,12,32,3
2011-05-10 06:00:00,12,11,31,1
2011-05-10 12:00:00,13,12,27,1
2011-05-10 18:00:00,12,10,32,0
2011-05-11 00:00:00,10,9,25,0
2011-05-11 06:00:00,12,9,25,0
2011-05-11 12:00:00,18,12,28,1
2011-05-11 18:00:00,15,12,25,2
2011-05-12 00:00:00,12,11,21,1
2011-05-12 06:00:00,12,11,24,1
2011-05-12 12:00:00,15,13,17,1
2011-05-12 18:00:00,14,11,7,2
2011-05-13 00:00:00,11,9,4,2
2011-05-13 06:00:00,14,11,10,3
2011-05-13 12:00:00,14,12,20,1
2011-05-13 18:00:00,11,8,11,2
2011-05-14 00:00:00,8,7,8,2
2011-05-14 06:00:00,10,8,13,2
2011-05-14 12:00:00,12,9,14,1
2011-05-14 18:00:00,15,13,11,1
2011-05-15 00:00:00,13,11,10,1
2011-05-15 06:00:00,14,12,10,1
2011-05-15 12:00:00,13,12,17,0
2011-05-15 18:00:00,12,10,17,1
2011-05-16 00:00:00,10,9,22,0
2011-05-16 06:00:00,9,9,27,1
2011-05-16 12:00:00,10,9,25,1
2011-05-16 18:00:00,9,9,19,0
2011-05-17 00:00:00,9,9,19,1
2011-05-17 06:00:00,9,9,23,0
2011-05-17 12:00:00,9,9,23,2
2011-05-17 18:00:00,10,9,19,2
2011-05-18 00:00:00,11,10,17,2
2011-05-18 06:00:00,11,11,22,2
2011-05-18 12:00:00,12,11,19,2
2011-05-18 18:00:00,11,11,19,2
2011-05-19 00:00:00,12,11,16,2
2011-05-19 06:00:00,14,12,9,2
2011-05-19 12:00:00,15,12,14,2
2011-05-19 18:00:00,13,11,14,2
2011-05-20 00:00:00,12,11,7,2
2011-05-20 06:00:00,16,11,4,2
2011-05-20 12:00:00,17,15,14,1
2011-05-20 18:00:00,13,11,8,2
2011-05-21 00:00:00,12,11,0,2
2011-05-21 06:00:00,17,13,7,2
2011-05-21 12:00:00,16,12,14,2
2011-05-21 18:00:00,12,9,23,2
2011-05-22 00:00:00,10,9,20,1
2011-05-22 06:00:00,11,9,14,2
2011-05-22 12:00:00,12,10,14,1
2011-05-22 18:00:00,10,9,11,1
2011-05-23 00:00:00,11,11,16,1
2011-05-23 06:00:00,12,11,17,0
2011-05-23 12:00:00,16,13,12,1
2011-05-23 18:00:00,18,16,19,1
2011-05-24 00:00:00,19,18,27,1
2011-05-24 06:00:00,25,19,19,2
2011-05-24 12:00:00,28,25,20,1
2011-05-24 18:00:00,25,21,11,2
2011-05-25 00:00:00,22,18,16,2
2011-05-25 06:00:00,22,19,19,3
2011-05-25 12:00:00,20,18,21,1
2011-05-25 18:00:00,18,16,12,2
