#from 17-04-2011 to 25-05-2011
# 4 measurements every day
#17
13 17 15 14
8 13 14 11
35 29 28 23
r c s m
#18
11 12 16 16
7 7 14 13
25 29 27 16
m s c c
#19
11 9 8 7
11 8 7 6
11 13 11 7
m r r r
#20
7 7 7 7
6 6 7 6
16 23 11 9
c c c m
#21
8 11 13 8
6 8 10 6
11 32 40 27
m s s m
#22
5 10 10 8
3 4 8 6
19 12 21 14
s c c s
#23
7 7 11 12
6 4 7 12
16 25 15 12
c r r c
#24
13 23 23 19
12 13 21 14
12 16 22 7
m m c c
#25
13 13 11 9
11 11 9 8
5 9 12 11
c c m m
#26
8 12 12 10
8 8 9 9
8 8 22 12
m m c m
#27
10 14 25 21
9 10 14 17
6 11 18 23
m m c c
#28
19 21 21 18
18 18 19 17
27 32 37 22
c c c m
#29
18 21 23 22
14 16 19 16
17 8 24 23
m s s m
#30
15 15 14 14
12 12 12 9
20 16 13 10
c c c m
#1 mei
11 12 12 11
8 9 11 10
11 22 23 13
s s s m
#2
11 16 15 16
7 9 13 13
6 9 28 15
s s s s
#3
15 17 21 17
12 13 17 14
14 11 24 17
c s c c
#4
17 18 19 14
14 17 14 10
16 20 11 18
c c c r
#5
9 12 14 12
8 9 12 10
19 20 23 24
c c c m
#6
9 19 22 18
8 10 19 13
22 26 31 21
m s c m
#7
12 20 21 13
11 12 14 13
14 12 20 9
m s c m
#8
12 13 13 13
10 11 11 11
3 19 19 7
m c c m
#9
12 18 19 16
11 12 16 15
15 27 28 29
m c c c
#10
14 12 13 12
12 11 12 10
32 31 27 32
s c c r
#11
10 12 18 15
9 9 12 12
25 25 28 25
r r c m
#12
12 12 15 14
11 11 13 11
21 24 17 7
c c c m
#13
11 14 14 11
9 11 12 8
4 10 20 11
m s c m
#14
8 10 12 15
7 8 9 13
8 13 14 11
m m c c
#15
13 14 13 12
11 12 12 10
10 10 17 17
c c r c
#16
10 9 10 9
9 9 9 9
22 27 25 19
r c c r
#17
9 9 9 10
9 9 9 9
19 23 23 19
c r m m
#18
11 11 12 11
10 11 11 11
17 22 19 19
m m m m
#19
12 14 15 13
11 12 12 11
16 9 14 14
m m m m
#20
12 16 17 13
11 11 15 11
7 4 14 8
m m c m
#21
12 17 16 12
11 13 12 9
0 7 14 23
m m m m
#22
10 11 12 10
9 9 10 9
20 14 14 11
c m c c
#23
11 12 16 18
11 11 13 16
16 17 12 19
c r c c
#24
19 25 28 25
18 19 25 21
27 19 20 11
c m c m
#25
22 22 20 18
18 19 18 16
16 19 21 12
m s c m
